Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,50.869999,50.900002,49.209999,49.520000,49.520000,10812100
2021-10-08,49.500000,49.650002,48.650002,49.160000,49.160000,7338500
2021-10-11,48.750000,49.980000,48.230000,49.180000,49.180000,8145100
2021-10-12,49.090000,50.139999,48.669998,49.669998,49.669998,7402300
2021-10-13,49.369999,49.410000,47.459999,47.880001,47.880001,13271500
2021-10-14,48.330002,48.650002,47.830002,47.910000,47.910000,7435000
2021-10-15,48.630001,49.290001,47.939999,48.000000,48.000000,8516900
2021-10-18,47.700001,48.130001,47.150002,47.169998,47.169998,9126800
2021-10-19,47.200001,47.250000,46.080002,46.220001,46.220001,14646400
2021-10-20,46.900002,46.900002,45.580002,45.950001,45.950001,19751200
2021-10-21,46.180000,47.180000,45.980000,46.720001,46.720001,13252600
2021-10-22,46.119999,47.380001,46.119999,46.730000,46.730000,8565800
2021-10-25,46.540001,47.180000,46.240002,46.650002,46.650002,7494200
2021-10-26,47.099998,47.630001,46.540001,46.790001,46.790001,9345500
2021-10-27,47.119999,47.430000,45.790001,45.820000,45.820000,7896600
2021-10-28,46.000000,46.259998,45.439999,46.009998,46.009998,7376800
2021-10-29,45.860001,46.450001,45.480000,46.139999,46.139999,9674900
2021-11-01,46.180000,48.150002,45.820000,48.049999,48.049999,13566900
2021-11-02,47.919998,48.080002,47.189999,47.980000,47.980000,8764900
2021-11-03,47.779999,49.230000,47.189999,49.049999,49.049999,11270800
2021-11-04,49.299999,49.470001,48.380001,49.139999,49.139999,8659200
2021-11-05,52.389999,52.869999,50.880001,52.709999,52.709999,21531900
2021-11-08,53.869999,54.520000,52.810001,53.110001,53.110001,14923100
2021-11-09,52.910000,53.099998,51.660000,52.810001,52.810001,7623900
2021-11-10,51.930000,52.810001,51.529999,51.770000,51.770000,7155800
2021-11-11,51.570000,52.150002,51.310001,51.340000,51.340000,5878800
2021-11-12,51.349998,51.410000,49.279999,49.830002,49.830002,10260800
2021-11-15,50.200001,50.830002,50.070000,50.480000,50.480000,6506800
2021-11-16,50.200001,50.360001,48.919998,49.200001,49.200001,9333100
2021-11-17,48.680000,49.500000,48.259998,48.740002,48.740002,8291600
2021-11-18,48.680000,48.849998,46.910000,47.430000,47.430000,9883600
2021-11-19,46.540001,46.540001,45.220001,46.110001,46.110001,17014000
2021-11-22,46.680000,47.330002,45.799999,46.480000,46.480000,10954000
2021-11-23,46.750000,47.580002,46.459999,46.700001,46.700001,7006900
2021-11-24,46.200001,47.130001,45.799999,46.730000,46.730000,5595600
2021-11-26,43.669998,43.709999,40.110001,42.259998,42.259998,36386900
2021-11-29,43.180000,44.110001,41.680000,42.540001,42.540001,18487100
2021-11-30,41.450001,42.340000,40.669998,42.259998,42.259998,14919000
2021-12-01,43.029999,43.570000,38.880001,39.060001,39.060001,27503000
2021-12-02,39.770000,42.040001,38.900002,41.639999,41.639999,24005600
2021-12-03,41.220001,41.590000,39.700001,40.610001,40.610001,17315000
2021-12-06,41.610001,45.410000,41.529999,43.990002,43.990002,27543800
2021-12-07,44.980000,45.459999,42.980000,43.410000,43.410000,17781000
2021-12-08,43.740002,46.599998,43.590000,45.250000,45.250000,22497300
2021-12-09,44.799999,45.250000,43.980000,44.439999,44.439999,12453100
2021-12-10,44.160000,44.290001,43.119999,44.049999,44.049999,11020600
2021-12-13,42.840000,42.990002,41.049999,41.740002,41.740002,16089500
2021-12-14,41.160000,42.590000,41.160000,41.380001,41.380001,12280300
2021-12-15,41.099998,41.639999,39.740002,41.500000,41.500000,14853300
2021-12-16,42.330002,42.650002,39.880001,40.049999,40.049999,12724200
2021-12-17,40.330002,41.619999,39.480000,40.779999,40.779999,14993800
2021-12-20,39.459999,41.709999,39.110001,41.099998,41.099998,14567200
2021-12-21,41.619999,44.230000,41.580002,43.930000,43.930000,19615800
2021-12-22,43.950001,45.209999,43.509998,44.570000,44.570000,13013100
2021-12-23,45.220001,45.480000,44.340000,44.869999,44.869999,10323000
2021-12-27,43.560001,44.779999,43.080002,44.580002,44.580002,11239300
2021-12-28,44.320000,45.799999,44.049999,45.270000,45.270000,9256200
2021-12-29,44.820000,45.169998,44.330002,44.430000,44.430000,8341000
2021-12-30,44.290001,45.200001,44.070000,44.130001,44.130001,9854600
2021-12-31,44.139999,44.709999,43.720001,43.779999,43.779999,7398900
2022-01-03,44.669998,46.400002,44.610001,45.490002,45.490002,13869100
2022-01-04,46.549999,47.020000,45.900002,46.250000,46.250000,11254900
2022-01-05,46.700001,47.099998,45.540001,45.779999,45.779999,10987900
2022-01-06,46.459999,46.900002,45.209999,45.770000,45.770000,8225800
2022-01-07,46.310001,47.770000,45.990002,47.310001,47.310001,11639500
2022-01-10,47.529999,47.770000,46.180000,46.580002,46.580002,9204500
2022-01-11,46.410000,47.549999,46.150002,46.900002,46.900002,8589900
2022-01-12,46.950001,47.509998,46.279999,46.540001,46.540001,8995700
2022-01-13,47.209999,49.270000,46.779999,48.169998,48.169998,14671200
2022-01-14,47.240002,47.540001,46.090000,46.740002,46.740002,11202400
2022-01-18,45.919998,46.980000,45.450001,45.610001,45.610001,11110800
2022-01-19,45.520000,45.700001,44.349998,44.400002,44.400002,10365300
2022-01-20,44.349998,44.840000,42.810001,42.880001,42.880001,15589600
2022-01-21,42.669998,43.020000,41.270000,41.650002,41.650002,16065200
2022-01-24,40.150002,41.490002,38.840000,41.389999,41.389999,20952000
2022-01-25,40.799999,42.110001,40.560001,41.779999,41.779999,11304600
2022-01-26,42.459999,43.060001,41.020000,41.430000,41.430000,13585700
2022-01-27,41.849998,42.779999,40.709999,40.930000,40.930000,12936400
2022-01-28,40.650002,40.930000,38.790001,40.910000,40.910000,14042700
2022-01-31,40.520000,42.910000,40.200001,42.880001,42.880001,11871000
2022-02-01,43.009998,44.230000,42.720001,43.959999,43.959999,9614300
2022-02-02,43.950001,45.349998,43.200001,44.119999,44.119999,12135300
2022-02-03,43.590000,44.480000,43.040001,43.080002,43.080002,8016500
2022-02-04,42.740002,43.130001,41.980000,42.820000,42.820000,8944200
2022-02-07,43.369999,44.990002,43.209999,44.439999,44.439999,10462900
2022-02-08,44.990002,46.910000,44.570000,46.830002,46.830002,12211700
2022-02-09,47.270000,49.290001,47.200001,48.930000,48.930000,15867900
2022-02-10,48.230000,50.160000,47.980000,49.240002,49.240002,16295800
2022-02-11,49.297501,50.250000,46.590000,46.834999,46.834999,13174326
